Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.62     0.00   207541     0.00     0.00  bidi_find_bracket_pairs
  0.00      1.62     0.00   207107     0.00     0.00  check_obarray
  0.00      1.62     0.00   201843     0.00     0.00  specbind
  0.00      1.62     0.00   194052     0.00     0.00  buf_charpos_to_bytepos
  0.00      1.62     0.00   191738     0.00     0.00  get_keyelt
  0.00      1.62     0.00   175292     0.00     0.00  mark_maybe_pointer
  0.00      1.62     0.00   171571     0.00     0.00  mem_find
  0.00      1.62     0.00   166367     0.00     0.00  Fsetcdr
  0.00      1.62     0.00   163964     0.00     0.00  read_char_escape
  0.00      1.62     0.00   163196     0.00     0.00  char_charset
  0.00      1.62     0.00   153838     0.00     0.00  get_char_property_and_overlay
  0.00      1.62     0.00   151351     0.00     0.00  traverse_intervals_noorder
  0.00      1.62     0.00   149628     0.00     0.00  Flength
  0.00      1.62     0.00   143481     0.00     0.00  set_default_internal
  0.00      1.62     0.00   142192     0.00     0.00  char_string
  0.00      1.62     0.00   135423     0.00     0.00  list1
  0.00      1.62     0.00   133523     0.00     0.00  Fgethash
  0.00      1.62     0.00   132662     0.00     0.00  Flread__substitute_object_in_subtree
  0.00      1.62     0.00   125421     0.00     0.00  terminal_glyph_code
  0.00      1.62     0.00   125391     0.00     0.00  blankp
  0.00      1.62     0.00   123965     0.00     0.00  Ffind_file_name_handler
  0.00      1.62     0.00   111663     0.00     0.00  list_length
  0.00      1.62     0.00   107897     0.00     0.00  Fsymbol_function
  0.00      1.62     0.00   104951     0.00     0.00  Fcompare_strings
  0.00      1.62     0.00   103553     0.00     0.00  hash_string
  0.00      1.62     0.00   103553     0.00     0.00  oblookup
  0.00      1.62     0.00   103211     0.00     0.00  Fcommandp
  0.00      1.62     0.00   102862     0.00     0.00  mapatoms_1
  0.00      1.62     0.00   101142     0.00     0.00  intern_c_string_1
  0.00      1.62     0.00    98527     0.00     0.00  make_specified_string
  0.00      1.62     0.00    93788     0.00     0.00  resolve_face_name
  0.00      1.62     0.00    92588     0.00     0.00  multibyte_chars_in_text
  0.00      1.62     0.00    87280     0.00     0.00  free_cons
  0.00      1.62     0.00    83678     0.00     0.00  make_unibyte_string
  0.00      1.62     0.00    82813     0.00     0.00  Fsymbol_name
  0.00      1.62     0.00    82675     0.00     0.00  accessible_keymaps_1
  0.00      1.62     0.00    78195     0.00     0.00  Fget_text_property
  0.00      1.62     0.00    78094     0.00     0.00  lface_from_face_name_no_resolve
  0.00      1.62     0.00    77951     0.00     0.00  merge_face_vectors
  0.00      1.62     0.00    77806     0.00     0.00  get_lface_attributes
  0.00      1.62     0.00    77392     0.00     0.00  merge_named_face
  0.00      1.62     0.00    75258     0.00     0.00  find_newline1
  0.00      1.62     0.00    75235     0.00     0.00  re_wctype_parse
  0.00      1.62     0.00    73639     0.00     0.00  interval_has_all_properties
  0.00      1.62     0.00    73104     0.00     0.00  Fget_char_property
  0.00      1.62     0.00    72713     0.00     0.00  Faset
  0.00      1.62     0.00    71162     0.00     0.00  Fnext_single_property_change
  0.00      1.62     0.00    69600     0.00     0.00  survives_gc_p
  0.00      1.62     0.00    69319     0.00     0.00  where_is_internal_1
  0.00      1.62     0.00    69127     0.00     0.00  merge_faces
  0.00      1.62     0.00    68131     0.00     0.00  EQ
  0.00      1.62     0.00    66444     0.00     0.00  make_uninit_string
  0.00      1.62     0.00    63658     0.00     0.00  Flist
  0.00      1.62     0.00    62907     0.00     0.00  itree_iterator_next
  0.00      1.62     0.00    62430     0.00     0.00  read_dirent
  0.00      1.62     0.00    62225     0.00     0.00  Ffboundp
  0.00      1.62     0.00    62084     0.00     0.00  itree_iterator_start
  0.00      1.62     0.00    61858     0.00     0.00  xfree
  0.00      1.62     0.00    61783     0.00     0.00  Faref
  0.00      1.62     0.00    60751     0.00     0.00  scmp
  0.00      1.62     0.00    54887     0.00     0.00  next_element_from_string
  0.00      1.62     0.00    53197     0.00     0.00  Ffollowing_char
  0.00      1.62     0.00    52893     0.00     0.00  buffer_display_table
  0.00      1.62     0.00    52652     0.00     0.00  copy_text
  0.00      1.62     0.00    52358     0.00     0.00  parse_str_as_multibyte
  0.00      1.62     0.00    51832     0.00     0.00  Fcopy_sequence
  0.00      1.62     0.00    49795     0.00     0.00  make_interval
  0.00      1.62     0.00    49268     0.00     0.00  Fstring_lessp
  0.00      1.62     0.00    48954     0.00     0.00  get_key_arg
  0.00      1.62     0.00    48461     0.00     0.00  next_element_from_c_string
  0.00      1.62     0.00    46939     0.00     0.00  concat_to_string
  0.00      1.62     0.00    45776     0.00     0.00  lisp_string_width
  0.00      1.62     0.00    45383     0.00     0.00  Fmake_closure
  0.00      1.62     0.00    45219     0.00     0.00  Fconcat
  0.00      1.62     0.00    44783     0.00     0.00  make_string
  0.00      1.62     0.00    43594     0.00     0.00  Feql
  0.00      1.62     0.00    41728     0.00     0.00  Fnreverse
  0.00      1.62     0.00    41460     0.00     0.00  string_byte_to_char
  0.00      1.62     0.00    39747     0.00     0.00  intervals_equal
  0.00      1.62     0.00    39381     0.00     0.00  mapcar1
  0.00      1.62     0.00    39175     0.00     0.00  composition_compute_stop_pos
  0.00      1.62     0.00    39156     0.00     0.00  encode_file_name
  0.00      1.62     0.00    38613     0.00     0.00  record_xmalloc
  0.00      1.62     0.00    38531     0.00     0.00  allocate_vector
  0.00      1.62     0.00    38482     0.00     0.00  styled_format
  0.00      1.62     0.00    37964     0.00     0.00  Fformat
  0.00      1.62     0.00    37352     0.00     0.00  set_point
  0.00      1.62     0.00    37247     0.00     0.00  record_unwind_protect
  0.00      1.62     0.00    36243     0.00     0.00  hashfn_eql
  0.00      1.62     0.00    35002     0.00     0.00  Fmapcar
  0.00      1.62     0.00    34829     0.00     0.00  Fnext_property_change
  0.00      1.62     0.00    34618     0.00     0.00  check_number_coerce_marker
  0.00      1.62     0.00    34561     0.00     0.00  record_property_change
  0.00      1.62     0.00    34320     0.00     0.00  FUNCTIONP
  0.00      1.62     0.00    33435     0.00     0.00  Fexpand_file_name
  0.00      1.62     0.00    33058     0.00     0.00  Ftext_quoting_style
  0.00      1.62     0.00    32622     0.00     0.00  re_match_2
  0.00      1.62     0.00    31975     0.00     0.00  Fnext_overlay_change
  0.00      1.62     0.00    31772     0.00     0.00  syntax_property_with_flags
